ID,question,answers
IA0001,pressing-q,"better understanding of the temporal scales of the different impacts as well as their potential interactions movement of materials ash, pyrogenic carbon, eroded soil between compartments  from hillslopes to the hydrological network as well as physical and biological alterations of those during the transport"
IA0002,pressing-q,"How are flow pathways affected by wildfires  change of hydrological processes beyond vegetation removal?
How long do changes in hydrology and biogeochemistry last? including importance of forest disturbance history"
IA0003,pressing-q,"How important are deeper groundwater flowpaths for prolonging elevated nutrient yields in burned watersheds? The vast majority of post-wildfire studies on biogeochemical cycling have focused on surface or shallow flowpaths, yet post-fire geochemical tracers indicate elevated contributions from deeper bedrock flowpaths during some hydroclimatic conditions Murphy  2018.
What is the role of hyporheic flow through wildfire-deposited or reworked sediments in stream beds for enhancing or buffering elevated constituent loading in streams? Wildfires alter streambed sediments through aggradation, incision, and stabilization phases controlled by links between hydroclimatic conditions and geomorphic processes Moody, 2017. Despite the ubiquity of changes in streambed sediments, we know little about how these streambed changes and associated alteration of hyporheic flow changes biogeochemical cycling."
IA0004,pressing-q,"First, everyone needs to have an historical perspective and understand that watershed ecosystems have evolved with fire over millennia and removing fires from watershed will only cause losses of ecosystem resistance, resiliency, and services because when a fire finally burns in fire-excluded watersheds, major damage WILL happen and these intense fires are when we see the greatest loss of life and property. Next, we need to understand that putting fire into these watersheds should be done under our control so that watersheds can burn with the least adverse impacts. Mechanical treatments such as thinnings and mastication only partially address the mitigation of adverse effects; prescribed fire is a more ecologically viable tool to use to keep watersheds ecologically intact"
IA0005,pressing-q,"the fate of pyrogenic carbon, and  the impact of pyrogenic carbon in the global carbon cycle with increased climate change"
IA0006,pressing-q,How are chemical products of wildfire transformed and transported across terrestrial to aquatic ecosystems? How can we predict and mitigate ecosystem recovery from wildfire events?
IA0007,pressing-q,"In the boreal forest of Alaska and western Canada, warming climate and increased drought on the landscape is leading to increasing fire frequency and intensity, and potential large-scale changes in the composition of the forest from black spruce dominated to deciduous dominated stands. Wildfires impact stream water chemistry through changes in transport of carbon and nitrogen from terrestrial to aquatic ecosystems"
IA0008,pressing-q,Black carbon: How much carbon can be stored as black carbon in soils after wildfire. What is the major factor controlling the black carbon storage in soils. Water quality: What are major concerns about water quality of streams/rivers in fire-impacted watersheds. How much of the region’s water quality will be affected from the wildfire. How long the wildfire affects the water quality. 
IA0009,pressing-q," We need to identify and quantify the direct mechanisms responsible for the terrestrial to aquatic  hill slope to riverine flux of PyC and pyrogenically altered nutrients. These mechanisms are likely a complex combination of processes including leaching, runoff, erosion, etc.  We need to better describe how the interaction of environmental conditions and perturbations before and after fire dictates the long-term fate of PyC and biogeochemical cycling. For example, pre-burn conditions may dictate the quality and quantity of fuels available, which control the quantity and quality of PyC formed, and then post-burn precipitation timing, amount, intensity and hill slope hydrology impact its potential for erosional transport Carroll et al 2007 - single erosion event following the Gondola Fire in South Lake Tahoe, CA."
IA0010,pressing-q," What are the important interactions among wildfires, hyporheic exchange in river corridors, and biogeochemical processing of nutrients at watershed scales? Justification: Up to 96% of river ecosystem respiration is associated with hyporheic exchange Naegeli and Uehlinger, 1997. This process is impacted by fires through  changes in the form of organic matter  PyOM;  changes in amount and type of other nutrients  N,P; and 3 changes in hydrologic processes that control hyporheic exchange  erosion/sedimentation associated with wildfires. These complex interactions have not been studied, but likely have strong controls over wildfire impacts on water quality and nutrient cycling. What are the relationships between vegetation type, wildfire intensity, time since fires, and the character of OM and other nutrients sourced to rivers? Justification: As noted above, riverine nutrient cycling can be very important to watershed function, and changes in the character of OM and other nutrients delivered to rivers will be strongly impacted by wildfires. The character of PyOM likely exhibits chemical signatures related to the factors listed above and maybe others; Wagner  2018 that in turn will impact rates of biogeochemical reactions in river systems, but systematic understanding of these relationships is lacking. "
